Index	Red	Green	Blue
0	5145	89260	5145
1	2110	7136	2110
2	2120	6706	2120
3	2142	6361	2142
4	2265	6313	2265
5	2408	5839	2408
6	2544	5436	2544
7	2655	5283	2655
8	2811	4885	2811
9	3107	4738	3107
10	4428	4473	4428
11	9213	4283	9213
12	15977	4236	15977
13	19268	3937	19268
14	25492	3862	25492
15	28353	3713	28353
16	31605	3641	31605
17	30221	3474	30221
18	28230	3356	28230
19	36834	3336	36834
20	39506	3085	39506
21	35044	3119	35044
22	36345	3071	36345
23	34981	2871	34981
24	32755	2774	32755
25	31913	2798	31913
26	29074	2760	29074
27	25977	2676	25977
28	24880	2657	24880
29	24205	2513	24205
30	24470	2487	24470
31	24465	2477	24465
32	24699	2273	24699
33	25210	2339	25210
34	23891	2281	23891
35	22559	2170	22559
36	21762	2118	21762
37	21216	2008	21216
38	21156	2096	21156
39	21151	1970	21151
40	20125	1960	20125
41	18839	1915	18839
42	17713	1841	17713
43	16802	1873	16802
44	15991	1797	15991
45	15792	1789	15792
46	15265	1774	15265
47	15076	1647	15076
48	15412	1612	15412
49	15500	1683	15500
50	15234	1569	15234
51	14583	1574	14583
52	13615	1493	13615
53	12712	1498	12712
54	12474	1430	12474
55	12052	1507	12052
56	11411	1435	11411
57	11063	1340	11063
58	11071	1289	11071
59	10673	1329	10673
60	10265	1273	10265
61	9532	1227	9532
62	9388	1253	9388
63	9462	1264	9462
64	9451	1269	9451
65	9445	1186	9445
66	9070	1193	9070
67	8457	1246	8457
68	8210	1185	8210
69	7905	1196	7905
70	7834	1153	7834
71	7831	1137	7831
72	7950	1033	7950
73	7948	1072	7948
74	7669	1022	7669
75	7751	991	7751
76	7798	934	7798
77	7839	989	7839
78	7863	947	7863
79	8225	903	8225
80	7794	876	7794
81	7446	842	7446
82	7344	888	7344
83	7067	844	7067
84	7183	851	7183
85	7109	828	7109
86	6993	804	6993
87	6853	782	6853
88	6996	763	6996
89	6778	750	6778
90	6851	735	6851
91	6396	785	6396
92	6332	768	6332
93	6147	774	6147
94	6121	805	6121
95	6086	751	6086
96	6040	791	6040
97	6157	751	6157
98	6184	783	6184
99	6195	803	6195
100	6115	790	6115
101	6354	803	6354
102	6613	769	6613
103	6748	855	6748
104	6365	790	6365
105	6352	901	6352
106	6145	911	6145
107	6146	1030	6146
108	6394	990	6394
109	6735	1065	6735
110	7148	1126	7148
111	7871	1091	7871
112	8082	1158	8082
113	7574	1154	7574
114	7314	1249	7314
115	6850	1236	6850
116	6684	1237	6684
117	6436	1229	6436
118	6544	1482	6544
119	6689	1509	6689
120	6807	1656	6807
121	6766	1878	6766
122	6855	2154	6855
123	6634	2312	6634
124	6919	2394	6919
125	7287	2564	7287
126	7480	2667	7480
127	6684	2621	6684
128	6737	2862	6737
129	6868	2833	6868
130	6498	2845	6498
131	6697	2844	6697
132	6770	2994	6770
133	6618	3142	6618
134	6961	3205	6961
135	7492	3474	7492
136	8299	3654	8299
137	8676	3595	8676
138	8503	3474	8503
139	8324	3496	8324
140	8504	3693	8504
141	8346	3699	8346
142	7608	3940	7608
143	7937	3780	7937
144	8260	3963	8260
145	8433	4380	8433
146	7966	4468	7966
147	7988	4597	7988
148	7690	5012	7690
149	7458	5336	7458
150	7517	5522	7517
151	7436	5432	7436
152	7541	5752	7541
153	7755	6170	7755
154	8004	6608	8004
155	8073	7061	8073
156	7942	6994	7942
157	8006	7478	8006
158	7789	8046	7789
159	7832	7881	7832
160	7596	7946	7596
161	7162	7476	7162
162	7103	7267	7103
163	7224	7690	7224
164	7503	8090	7503
165	7640	8352	7640
166	7972	8574	7972
167	8303	9334	8303
168	8223	10070	8223
169	7800	9738	7800
170	7604	10060	7604
171	7684	10421	7684
172	7845	11178	7845
173	8074	12298	8074
174	8270	12653	8270
175	8412	13022	8412
176	8767	13494	8767
177	9282	13671	9282
178	9021	13548	9021
179	8678	13201	8678
180	8629	13409	8629
181	8727	13856	8727
182	9499	14342	9499
183	10034	14128	10034
184	10326	14435	10326
185	10298	15366	10298
186	11044	15582	11044
187	11408	16488	11408
188	11412	16460	11412
189	12005	16664	12005
190	11884	16583	11884
191	11680	16155	11680
192	11464	15980	11464
193	11258	16411	11258
194	11699	17092	11699
195	11686	17364	11686
196	11610	18074	11610
197	11053	18910	11053
198	10638	19939	10638
199	10874	20574	10874
200	10282	19949	10282
201	9481	20187	9481
202	8801	21044	8801
203	9080	20407	9080
204	9372	20869	9372
205	9760	21246	9760
206	10112	22258	10112
207	10101	22391	10101
208	10151	22057	10151
209	9627	22806	9627
210	9355	23042	9355
211	9041	23060	9041
212	8882	23983	8882
213	8807	23312	8807
214	8432	23707	8432
215	7909	23344	7909
216	7584	23415	7584
217	7155	22980	7155
218	6945	22743	6945
219	6663	23502	6663
220	6690	26083	6690
221	6530	25934	6530
222	6062	26077	6062
223	6134	25945	6134
224	5764	24228	5764
225	5649	25127	5649
226	5469	25579	5469
227	5572	24952	5572
228	5870	25130	5870
229	5761	24939	5761
230	5481	24229	5481
231	5142	24902	5142
232	4952	25880	4952
233	4719	27961	4719
234	4184	28578	4184
235	3705	28101	3705
236	3432	27259	3432
237	3116	27925	3116
238	2840	27785	2840
239	2503	27967	2503
240	2188	26884	2188
241	1541	30178	1541
242	1275	32737	1275
243	1048	35370	1048
244	863	35557	863
245	771	32759	771
246	582	28797	582
247	488	27560	488
248	419	27198	419
249	340	29235	340
250	273	30788	273
251	228	31785	228
252	175	32754	175
253	170	32816	170
254	144	28193	144
255	315	41147	315
